key|german|english|source|status
MedicationType.WALDAPOTHEKE|Waldapotheke|Waldapotheke|ApplicationResources|OK
EquipmentStatus|Status|Status|ApplicationResources|OK
PatientDataType.EXTERNAL|Extern|External|ApplicationResources|OK
MedicationType|Apotheke|Apothecary|ApplicationResources|OK
PatientDataType.EXTERNAL_BASISWEB|BASIS-Web|BASIS-Web|ApplicationResources|OK
MedicationType.ROTE_LISTE|Rote Liste|Red List|ApplicationResources|OK
PatientDataType.INTERNAL|Intern (E-Mail)|Internal (E-Mail)|ApplicationResources|OK
MedicationType.WALDAPOTHEKE|Waldapotheke|Waldapotheke|ApplicationResources|OK
PatientDataType.INTERNAL_DAV|Intern (WebDAV)|Internal (Dav)|ApplicationResources|OK
PatientDataType.EXTERNAL|Extern|External|ApplicationResources|OK
PatientDataType.INTERNAL_POST|Intern (Web Post)|Internal (Web-Post)|ApplicationResources|OK
PatientDataType.EXTERNAL_BASISWEB|BASIS-Web|BASIS-Web|ApplicationResources|OK
PatientDataType.INTERNAL_SECUREBOX|BayernCloud (SecureBox)|BayernCloud (SecureBox)|ApplicationResources|OK
PatientDataType.INTERNAL|Intern (E-Mail)|Internal (E-Mail)|ApplicationResources|OK
PatientDataType.INTERNAL_VCCLOUD|VideoClinic OwnCloud|VideoClinic OwnCloud|ApplicationResources|OK
PatientDataType.INTERNAL_DAV|Intern (WebDAV)|Internal (Dav)|ApplicationResources|OK
address.bank|Kreditinstitut|Bank|ApplicationResources|OK
PatientDataType.INTERNAL_POST|Intern (Web Post)|Internal (Web-Post)|ApplicationResources|OK
address.bic|BIC|BIC|ApplicationResources|OK
PatientDataType.INTERNAL_SECUREBOX|BayernCloud (SecureBox)|BayernCloud (SecureBox)|ApplicationResources|OK
address.iban|IBAN|IBAN|ApplicationResources|OK
PatientDataType.INTERNAL_VCCLOUD|VideoClinic OwnCloud|VideoClinic OwnCloud|ApplicationResources|OK
address.uid|Umsatzsteuernummer|sales tax id|ApplicationResources|OK
address.bank|Kreditinstitut|Bank|ApplicationResources|OK
billing.rebate|Rabatt|Discount|ApplicationResources|OK
address.bic|BIC|BIC|ApplicationResources|OK
book.number|Buchnummermaske|Book number mask|ApplicationResources|OK
address.iban|IBAN|IBAN|ApplicationResources|OK
button.apply|Anwenden|Apply|BaseResources|OK
address.uid|Umsatzsteuernummer|sales tax id|ApplicationResources|OK
billing.rebate|Rabatt|Discount|ApplicationResources|OK
button.reset|Zur\u00FCcksetzen|Reset|BaseResources|OK
book.number|Buchnummermaske|Book number mask|ApplicationResources|OK
contact|Adressbuch|Contact|ApplicationResources|OK
button.apply|Anwenden|Apply|BaseResources|OK
contact.address|Stra\u00DFe|Address|ApplicationResources|OK
contact.apt|T\u00FCr|Door|ApplicationResources|OK
button.reset|Zur\u00FCcksetzen|Reset|BaseResources|OK
contact.birthday|Geburtstag|Birthday|ApplicationResources|OK
contact|Adressbuch|Contact|ApplicationResources|OK
contact.birthplace|Geburtsort|Birthplace|ApplicationResources|OK
contact.address|Stra\u00DFe|Address|ApplicationResources|OK
contact.cellularnumber|Handy|Mobile|ApplicationResources|OK
contact.apt|T\u00FCr|Door|ApplicationResources|OK
contact.city|Stadt|City|ApplicationResources|OK
contact.birthday|Geburtstag|Birthday|ApplicationResources|OK
contact.country|Land|Country|ApplicationResources|OK
contact.birthplace|Geburtsort|Birthplace|ApplicationResources|OK
contact.cellularnumber|Handy|Mobile|ApplicationResources|OK
contact.email|||ApplicationResources|MISSING_DE
contact.city|Stadt|City|ApplicationResources|OK
contact.faxnumber|Fax|Fax|ApplicationResources|OK
contact.country|Land|Country|ApplicationResources|OK
contact.house|Nr.|House|ApplicationResources|OK
contact.level|Stiege|Level|ApplicationResources|OK
contact.email|||ApplicationResources|MISSING_DE
contact.nationality|Nationalit\u00E4t|Nationality|ApplicationResources|OK
contact.faxnumber|Fax|Fax|ApplicationResources|OK
contact.primaryemail|E-Mail|E-Mail|ApplicationResources|OK
contact.house|Nr.|House|ApplicationResources|OK
contact.level|Stiege|Level|ApplicationResources|OK
contact.private|Privat|Home|ApplicationResources|OK
